	position	artist	title	year
29	29	MECANO	Hijo de la luna (dis-moi lune d'argent)	1991
30	30	UB40	Homely girl	1991
31	31	FRANCOIS FELDMAN & JONIECE JAMISON	J'ai peur	1991
32	32	THE REMBRANDTS	Just the way it is, baby	1991
33	33	ENIGMA	Mea culpa part II	1991
34	34	BEVERLEY CRAVEN	Promise me	1991
35	35	YANNICK NOAH	Saga Africa	1991
36	36	JIMMY SOMERVILLE	To love somebody	1991
37	37	GUNS N' ROSES	Don't cry	1991
38	38	LONDONBEAT	I've been thinking about you	1991
39	39	FRANCOIS FELDMAN	Le serpent qui danse	1991
40	40	SIMPLE MINDS	Let there be love	1991
41	41	EXTREME	More than words	1991
42	42	DE LA SOUL	Ring ring ring (ha ha hey)	1991
43	43	DANA DAWSON	Romantic world	1991
44	44	U2	The fly	1991
45	45	UB40	The way you do, the things you do	1991
46	46	ELTON JOHN	You gotta love someone	1991
47	47	WHITNEY HOUSTON	All the man that I need	1991
48	48	MONIE LOVE	It's a shame (my sister)	1991
49	49	GENESIS	No son of mine	1991
50	50	PATRICK BRUEL	Place des grands hommes	1991
1	1	CYNDI LAUPER	The world is stone	1992
2	2	TEN SHARP	You	1992
3	3	GEORGE MICHAEL & ELTON JOHN	Don't let the sun go down on me	1992
4	4	JOE COCKER	Night calls	1992
5	5	SNAP!	Rhythm is a dancer	1992
6	6	VANESSA PARADIS	Be my baby	1992
7	7	M.C. SOLAAR	Caroline	1992
8	8	SHANICE	I love your smile	1992
9	9	BOB MARLEY	Iron lion zion	1992
10	10	FRANCOIS FELDMAN	Joy	1992
11	11	U2	One	1992
12	12	NIRVANA	Smells like teen spirit	1992
13	13	TEARS FOR FEARS	Laid so low (tears roll down)	1992
14	14	QUEEN	The show must go on	1992
15	15	STING & ERIC CLAPTON	It's probably me	1992
16	16	POW WOW	Le chat	1992
17	17	LIONEL RICHIE	My destiny	1992
18	18	ETIENNE DAHO	Saudade	1992
19	19	LIONEL RICHIE	Do it to me	1992
20	20	MYLENE FARMER	Je t'aime mélancolie	1992
21	21	DOUBLE YOU	Please don't go	1992
22	22	MICHAEL JACKSON	Remember the time	1992
23	23	BASS BUMPERS feat. E. MELLO & FELICIA	The music's got me	1992
24	24	ELTON JOHN	The one	1992
25	25	MICHAEL JACKSON	Black or white	1992
26	26	NIRVANA	Come as you are	1992
27	27	ETIENNE DAHO	Des attractions désastre	1992
28	28	MICHAEL JACKSON	In the closet	1992
29	29	SALT-N-PEPA	Let's talk about sex	1992
30	30	SADE	No ordinary love	1992
31	31	MARCO MASINI	Perché lo fai	1992
32	32	MICHAEL JACKSON	Who is it	1992
33	33	MYLENE FARMER	Beyond my control	1992
34	34	LISA STANSFIELD	Change	1992
35	35	MICHAEL JACKSON	Heal the world	1992
